pickup_date,temp_max,temp_min,temp_mean,precip_mm,snow_mm,wind_max,weather_code,conditions
2023-03-17,14.4,2.5,8.5,0.0,0.0,22.2,3,Partly cloudy
2023-03-18,11.1,3.1,7.6,0.7,0.0,26.1,51,Rainy
2023-03-19,3.8,-2.8,1.2,0.0,0.0,27.3,3,Partly cloudy
2023-03-20,10.7,-3.3,3.2,0.0,0.0,17.8,0,Clear
2023-03-21,15.8,-1.0,7.4,0.0,0.0,20.1,3,Partly cloudy
2023-03-22,13.3,2.4,7.8,0.0,0.0,23.1,3,Partly cloudy
2023-03-23,15.0,5.3,10.7,2.8,0.0,24.5,61,Rainy
2023-03-24,13.1,5.7,8.7,0.2,0.0,19.1,51,Rainy
2023-03-25,7.5,3.0,5.6,11.5,0.0,31.4,63,Rainy
2023-03-26,15.1,3.3,9.4,0.0,0.0,24.5,3,Partly cloudy
2023-03-27,14.9,2.6,7.8,2.6,0.0,23.7,61,Rainy
2023-03-28,11.2,3.1,6.6,0.6,0.0,21.1,51,Rainy
2023-03-29,11.0,-0.1,5.3,0.0,0.0,24.2,3,Partly cloudy
2023-03-30,7.6,-1.5,3.3,0.1,0.0,28.5,51,Rainy
2023-03-31,10.1,-0.8,6.0,0.0,0.0,29.4,3,Partly cloudy
2023-04-01,19.7,9.6,14.9,10.1,0.0,26.7,63,Rainy
2023-04-02,10.7,3.3,6.9,0.0,0.0,35.3,3,Partly cloudy
2023-04-03,13.4,-0.2,7.1,0.0,0.0,30.9,3,Partly cloudy
2023-04-04,18.7,6.0,13.3,0.0,0.0,16.8,3,Partly cloudy
2023-04-05,13.6,9.4,11.7,0.4,0.0,20.5,51,Rainy
2023-04-06,26.5,10.7,16.6,3.3,0.0,18.7,61,Rainy
2023-04-07,14.0,6.9,11.2,0.0,0.0,21.9,3,Partly cloudy
2023-04-08,10.4,1.8,6.1,0.0,0.0,19.9,3,Partly cloudy
2023-04-09,11.8,1.2,6.4,0.0,0.0,24.2,3,Partly cloudy
2023-04-10,17.9,2.2,9.1,0.0,0.0,18.8,0,Clear
2023-04-11,23.0,6.5,14.8,0.0,0.0,26.0,3,Partly cloudy
2023-04-12,27.5,15.6,20.5,0.0,0.0,24.1,3,Partly cloudy
2023-04-13,31.1,12.0,22.1,0.0,0.0,20.6,0,Clear
2023-04-14,29.6,13.9,22.0,0.0,0.0,19.2,3,Partly cloudy
2023-04-15,21.0,14.6,17.6,5.0,0.0,19.5,63,Rainy
2023-04-16,21.0,12.3,15.8,0.0,0.0,17.7,3,Partly cloudy
2023-04-17,20.1,11.6,14.4,3.1,0.0,24.5,63,Rainy
2023-04-18,14.5,7.1,11.3,0.1,0.0,36.5,51,Rainy
2023-04-19,17.5,4.3,10.4,0.0,0.0,24.5,3,Partly cloudy
2023-04-20,15.9,5.8,10.5,0.0,0.0,16.2,3,Partly cloudy
2023-04-21,19.1,8.2,13.1,0.0,0.0,23.9,3,Partly cloudy
2023-04-22,19.8,9.9,14.3,15.7,0.0,30.5,63,Rainy
2023-04-23,19.2,11.3,14.6,18.4,0.0,20.6,63,Rainy
2023-04-24,16.2,6.3,11.2,0.0,0.0,19.1,3,Partly cloudy
2023-04-25,15.2,5.6,10.4,0.3,0.0,13.2,51,Rainy
2023-04-26,13.9,6.2,10.0,0.9,0.0,22.1,53,Rainy
2023-04-27,13.5,7.4,10.6,0.7,0.0,16.8,51,Rainy
2023-04-28,13.1,6.8,9.8,6.1,0.0,23.3,61,Rainy
2023-04-29,12.3,8.8,10.7,59.5,0.0,30.7,63,Rainy
2023-04-30,14.9,10.5,12.8,22.2,0.0,27.5,63,Rainy
2023-05-01,15.7,7.6,12.6,1.8,0.0,38.6,53,Rainy
2023-05-02,13.5,8.4,10.4,0.8,0.0,26.9,51,Rainy
2023-05-03,12.6,5.8,9.5,0.7,0.0,14.8,51,Rainy
2023-05-04,14.5,6.4,10.2,1.7,0.0,16.3,53,Rainy
2023-05-05,17.2,6.9,11.6,3.5,0.0,11.9,63,Rainy
2023-05-06,21.1,6.6,14.2,0.0,0.0,19.0,3,Partly cloudy
2023-05-07,23.8,9.3,16.4,0.0,0.0,22.1,3,Partly cloudy
2023-05-08,23.7,12.9,18.2,0.0,0.0,21.2,3,Partly cloudy
2023-05-09,19.3,9.8,14.1,0.0,0.0,21.7,3,Partly cloudy
2023-05-10,21.2,7.2,14.3,0.0,0.0,19.8,1,Partly cloudy
2023-05-11,25.4,9.6,17.8,0.0,0.0,21.7,3,Partly cloudy
2023-05-12,29.6,13.0,21.1,0.0,0.0,15.3,3,Partly cloudy
2023-05-13,27.4,17.6,22.0,0.0,0.0,19.7,3,Partly cloudy
2023-05-14,22.9,12.6,17.6,0.0,0.0,22.0,3,Partly cloudy
2023-05-15,25.4,9.7,17.5,0.0,0.0,18.7,3,Partly cloudy
2023-05-16,27.8,12.8,20.3,0.0,0.0,24.9,3,Partly cloudy
2023-05-17,18.8,10.7,15.1,0.0,0.0,26.4,3,Partly cloudy
2023-05-18,14.3,6.9,11.1,0.0,0.0,22.1,0,Clear
2023-05-19,19.6,10.5,14.9,0.0,0.0,33.0,3,Partly cloudy
2023-05-20,17.6,13.6,15.8,26.9,0.0,15.9,63,Rainy
2023-05-21,21.9,13.0,17.3,0.6,0.0,23.0,53,Rainy
2023-05-22,23.0,12.3,16.9,0.2,0.0,20.6,51,Rainy
2023-05-23,19.5,11.1,14.5,0.0,0.0,21.5,3,Partly cloudy
2023-05-24,21.9,9.9,15.6,0.7,0.0,25.0,53,Rainy
2023-05-25,19.2,10.1,14.7,0.0,0.0,25.9,3,Partly cloudy
2023-05-26,22.3,10.1,16.1,0.0,0.0,15.3,1,Partly cloudy
2023-05-27,24.4,9.9,17.2,0.0,0.0,20.1,3,Partly cloudy
2023-05-28,23.7,11.7,17.7,0.0,0.0,19.9,3,Partly cloudy
2023-05-29,24.7,13.8,18.5,0.0,0.0,28.5,3,Partly cloudy
2023-05-30,20.4,11.8,15.6,0.0,0.0,18.6,0,Clear
2023-05-31,22.6,10.8,16.1,0.0,0.0,15.3,1,Partly cloudy
2023-06-01,27.4,12.3,19.5,0.0,0.0,17.4,3,Partly cloudy
2023-06-02,30.8,15.2,22.3,0.0,0.0,17.1,3,Partly cloudy
2023-06-03,20.2,14.1,18.4,3.5,0.0,22.3,61,Rainy
2023-06-04,21.5,10.5,15.5,0.1,0.0,25.0,51,Rainy
2023-06-05,24.0,11.6,17.8,0.0,0.0,21.5,3,Partly cloudy
2023-06-06,25.8,14.6,19.6,0.2,0.0,33.9,51,Rainy
2023-06-07,25.1,13.3,18.8,0.0,0.0,21.3,2,Partly cloudy
2023-06-08,22.4,10.7,16.8,0.0,0.0,19.2,2,Partly cloudy
2023-06-09,22.9,11.7,16.9,0.9,0.0,20.0,53,Rainy
2023-06-10,26.4,12.3,19.1,0.2,0.0,18.1,51,Rainy
2023-06-11,27.2,16.4,21.3,0.0,0.0,18.6,3,Partly cloudy
2023-06-12,24.0,19.3,21.0,8.5,0.0,27.0,63,Rainy
2023-06-13,26.4,16.2,21.0,0.0,0.0,21.6,3,Partly cloudy
2023-06-14,24.7,14.9,18.5,9.5,0.0,24.1,63,Rainy
2023-06-15,26.2,15.0,20.4,0.0,0.0,20.4,3,Partly cloudy
2023-06-16,25.9,15.2,19.2,10.8,0.0,18.8,63,Rainy
2023-06-17,25.5,14.8,20.0,0.1,0.0,31.6,51,Rainy
2023-06-18,26.5,15.8,21.4,0.0,0.0,19.2,3,Partly cloudy
2023-06-19,25.3,16.3,20.5,1.4,0.0,20.0,53,Rainy
2023-06-20,23.5,16.5,19.5,0.0,0.0,21.3,3,Partly cloudy
2023-06-21,22.9,15.5,18.8,0.3,0.0,23.4,51,Rainy
