pickup_date,trip_count,month,day_of_week,is_weekend,week_number,zscore,zscore_anomaly,if_anomaly,confirmed_anomaly,anomaly_score,causal_label,mode,anomaly_label,month_name
2023-02-14,106217,2,1,0,7,0.24126034801509771,False,False,False,0.10101498276960702,Normal variation,Taxi,Normal,Feb
2023-02-15,108391,2,2,0,7,0.3624054010934922,False,False,False,0.10914800406851438,Normal variation,Taxi,Normal,Feb
2023-02-16,110537,2,3,0,7,0.4819901682996719,False,False,False,0.1136087310177793,Normal variation,Taxi,Normal,Feb
2023-02-17,109096,2,4,0,7,0.40169117037604424,False,False,False,0.09473192126306484,Normal variation,Taxi,Normal,Feb
2023-02-18,102750,2,5,1,7,0.048063522337639684,False,False,False,0.049322229592307476,Normal variation,Taxi,Normal,Feb
2023-02-19,87812,2,6,1,7,-0.7843489904889734,False,False,False,0.045608783104706285,Normal variation,Taxi,Normal,Feb
2023-02-20,77601,2,0,0,8,-1.3533518133884612,False,False,False,0.026752173616035435,Normal variation,Taxi,Normal,Feb
2023-02-21,97622,2,1,0,8,-0.23769169025941966,False,False,False,0.09627745552734612,Normal variation,Taxi,Normal,Feb
2023-02-22,108527,2,2,0,8,0.3699839324728214,False,False,False,0.10588833281274385,Normal variation,Taxi,Normal,Feb
2023-02-23,112757,2,3,0,8,0.6056985481681336,False,False,False,0.11160216438958642,Normal variation,Taxi,Normal,Feb
2023-02-24,112785,2,4,0,8,0.6072588340403484,False,False,False,0.0942540153619642,Normal variation,Taxi,Normal,Feb
2023-02-25,110894,2,5,1,8,0.501883813170411,False,False,False,0.05826213522122148,Normal variation,Taxi,Normal,Feb
2023-02-26,89021,2,6,1,8,-0.7169780755065545,False,False,False,0.04165450454443065,Normal variation,Taxi,Normal,Feb
2023-02-27,90607,2,0,0,9,-0.6285990257446714,False,False,False,0.06426648245322097,Normal variation,Taxi,Normal,Feb
2023-02-28,98930,2,1,0,9,-0.16480405022881248,False,False,False,0.09028324491698964,Normal variation,Taxi,Normal,Feb
2023-03-01,112847,3,2,0,9,0.6107137527573956,False,False,False,0.10276611365155586,Normal variation,Taxi,Normal,Mar
2023-03-02,116397,3,3,0,9,0.8085357115560619,False,False,False,0.10135789248933935,Normal variation,Taxi,Normal,Mar
2023-03-03,113721,3,4,0,9,0.6594169617686728,False,False,False,0.09343051373918354,Normal variation,Taxi,Normal,Mar
2023-03-04,110572,3,5,1,9,0.4839405256399404,False,False,False,0.06388235407824538,Normal variation,Taxi,Normal,Mar
2023-03-05,94736,3,6,1,9,-0.3985125840884199,False,False,False,0.05642712034826103,Normal variation,Taxi,Normal,Mar
2023-03-06,91291,3,0,0,10,-0.5904834708662805,False,False,False,0.07157226416454632,Normal variation,Taxi,Normal,Mar
2023-03-07,111378,3,1,0,10,0.5288544689615531,False,False,False,0.1050563383136549,Normal variation,Taxi,Normal,Mar
2023-03-08,115005,3,2,0,10,0.7309672139088101,False,False,False,0.11340375730203067,Normal variation,Taxi,Normal,Mar
2023-03-09,118929,3,3,0,10,0.9496301340006317,False,False,False,0.10833777280091977,Normal variation,Taxi,Normal,Mar
2023-03-10,119083,3,4,0,10,0.9582117062978133,False,False,False,0.0912520368923358,Normal variation,Taxi,Normal,Mar
2023-03-11,108836,3,5,1,10,0.38720280156262077,False,False,False,0.07484380119687184,Normal variation,Taxi,Normal,Mar
2023-03-12,93017,3,6,1,10,-0.49430299174332337,False,False,False,0.06932241134895689,Normal variation,Taxi,Normal,Mar
2023-03-13,98140,3,0,0,11,-0.20882640162344526,False,False,False,0.08477473862820739,Normal variation,Taxi,Normal,Mar
2023-03-14,105390,3,1,0,11,0.1951761902893239,False,False,False,0.11792378719826413,Normal variation,Taxi,Normal,Mar
2023-03-15,117435,3,2,0,11,0.8663777378188832,False,False,False,0.10859372032436276,Normal variation,Taxi,Normal,Mar
2023-03-16,121473,3,3,0,11,1.0913932503904364,False,False,False,0.10261459205372947,Normal variation,Taxi,Normal,Mar
2023-03-17,109917,3,4,0,11,0.44744098112920055,False,False,False,0.10351789071692874,Normal variation,Taxi,Normal,Mar
2023-03-18,118936,3,5,1,11,0.9500202054686854,False,False,False,0.05722485960946777,Normal variation,Taxi,Normal,Mar
2023-03-19,98115,3,6,1,11,-0.21021951400935135,False,False,False,0.0610157865726948,Normal variation,Taxi,Normal,Mar
2023-03-20,89236,3,0,0,12,-0.704997308987762,False,False,False,0.07254978930983058,Normal variation,Taxi,Normal,Mar
2023-03-21,99604,3,1,0,12,-0.127245740304784,False,False,False,0.11462873223438996,Normal variation,Taxi,Normal,Mar
2023-03-22,103752,3,2,0,12,0.10389946676475618,False,False,False,0.11739456605618226,Normal variation,Taxi,Normal,Mar
2023-03-23,111791,3,3,0,12,0.5518686855767219,False,False,False,0.12133127449858466,Normal variation,Taxi,Normal,Mar
2023-03-24,108473,3,4,0,12,0.3669748097192642,False,False,False,0.10225152867607695,Normal variation,Taxi,Normal,Mar
2023-03-25,113213,3,5,1,12,0.6311089180870608,False,False,False,0.06928650440972328,Normal variation,Taxi,Normal,Mar
2023-03-26,92125,3,6,1,12,-0.544009241672453,False,False,False,0.07365856387490821,Normal variation,Taxi,Normal,Mar
2023-03-27,94283,3,0,0,13,-0.42375578052103846,False,False,False,0.08622630262420394,Normal variation,Taxi,Normal,Mar
2023-03-28,102300,3,1,0,13,0.022987499391329873,False,False,False,0.11409190633207911,Normal variation,Taxi,Normal,Mar
2023-03-29,109113,3,2,0,13,0.40263848679846037,False,False,False,0.11583080271303131,Normal variation,Taxi,Normal,Mar
2023-03-30,116846,3,3,0,13,0.8335560100069354,False,False,False,0.11221655879705417,Normal variation,Taxi,Normal,Mar
2023-03-31,112624,3,4,0,13,0.5982871902751131,False,False,False,0.10171051714410123,Normal variation,Taxi,Normal,Mar
2023-04-01,114611,4,5,1,13,0.70901176270693,False,False,False,0.07467089153529138,Normal variation,Taxi,Normal,Apr
2023-04-02,97767,4,6,1,13,-0.22961163842116428,False,False,False,0.06998433097639511,Normal variation,Taxi,Normal,Apr
2023-04-03,94816,4,0,0,14,-0.39405462445352035,False,False,False,0.09263797482759595,Normal variation,Taxi,Normal,Apr
2023-04-04,106426,4,1,0,14,0.2529067675612727,False,False,False,0.12212246850011826,Normal variation,Taxi,Normal,Apr
2023-04-05,113460,4,2,0,14,0.6448728684598132,False,False,False,0.12889436382917024,Normal variation,Taxi,Normal,Apr
2023-04-06,105860,4,3,0,14,0.22136670314435858,False,False,False,0.11500202043490415,Normal variation,Taxi,Normal,Apr
2023-04-07,103633,4,4,0,14,0.09726825180784315,False,False,False,0.10494806189751027,Normal variation,Taxi,Normal,Apr
2023-04-08,99519,4,5,1,14,-0.13198232241686475,False,False,False,0.05864996466401928,Normal variation,Taxi,Normal,Apr
2023-04-09,86442,4,6,1,14,-0.8606915492366278,False,False,False,0.05725692576421648,Normal variation,Taxi,Normal,Apr
2023-04-10,87684,4,0,0,15,-0.7914817259048127,False,False,False,0.06969930198370133,Normal variation,Taxi,Normal,Apr
2023-04-11,102844,4,1,0,15,0.05330162490864662,False,False,False,0.11979641475241176,Normal variation,Taxi,Normal,Apr
2023-04-12,110988,4,2,0,15,0.507121915741418,False,False,False,0.12892822697770867,Normal variation,Taxi,Normal,Apr
2023-04-13,119599,4,3,0,15,0.9869655459429152,False,False,False,0.12362008366571542,Normal variation,Taxi,Normal,Apr
2023-04-14,121515,4,4,0,15,1.0937336791987586,False,False,False,0.10153489367082019,Normal variation,Taxi,Normal,Apr
2023-04-15,116530,4,5,1,15,0.8159470694490822,False,False,False,0.07464647158192195,Normal variation,Taxi,Normal,Apr
2023-04-16,96435,4,6,1,15,-0.3038366663422413,False,False,False,0.07711963057557425,Normal variation,Taxi,Normal,Apr
2023-04-17,95783,4,0,0,16,-0.3401690373666724,False,False,False,0.09816243638348038,Normal variation,Taxi,Normal,Apr
2023-04-18,112945,4,1,0,16,0.6161747533101475,False,False,False,0.1235019262411195,Normal variation,Taxi,Normal,Apr
2023-04-19,115462,4,2,0,16,0.7564333083231737,False,False,False,0.1297631173569903,Normal variation,Taxi,Normal,Apr
2023-04-20,123412,4,3,0,16,1.1994430470413135,False,False,False,0.11574361198163668,Normal variation,Taxi,Normal,Apr
2023-04-21,114572,4,4,0,16,0.7068385073849165,False,False,False,0.11695919430675561,Normal variation,Taxi,Normal,Apr
2023-04-22,115650,4,5,1,16,0.7669095134651875,False,False,False,0.07334219247301776,Normal variation,Taxi,Normal,Apr
2023-04-23,95851,4,6,1,16,-0.33637977167700783,False,False,False,0.0760931443813122,Normal variation,Taxi,Normal,Apr
2023-04-24,97594,4,0,0,17,-0.2392519761316345,False,False,False,0.10271493998230574,Normal variation,Taxi,Normal,Apr
2023-04-25,110544,4,1,0,17,0.4823802397677256,False,False,False,0.12492276822627718,Normal variation,Taxi,Normal,Apr
2023-04-26,117856,4,2,0,17,0.8898377503975419,False,False,False,0.12740776382886526,Normal variation,Taxi,Normal,Apr
2023-04-27,121988,4,3,0,17,1.1200913655401021,False,False,False,0.12117787273009589,Normal variation,Taxi,Normal,Apr
2023-04-28,120728,4,4,0,17,1.0498785012904346,False,False,False,0.11098056461919736,Normal variation,Taxi,Normal,Apr
2023-04-29,108106,4,5,1,17,0.34652391989416265,False,False,False,0.061355812302683055,Normal variation,Taxi,Normal,Apr
2023-04-30,92121,4,6,1,17,-0.544232139654198,False,False,False,0.07163751205842239,Normal variation,Taxi,Normal,Apr
2023-05-01,97401,5,0,0,18,-0.25000680375082956,False,False,False,0.10266872798585097,Normal variation,Taxi,Normal,May
2023-05-02,112803,5,1,0,18,0.6082618749582008,False,False,False,0.1259127055070413,Normal variation,Taxi,Normal,May
2023-05-03,117223,5,2,0,18,0.8545641447863994,False,False,False,0.131028380554023,Normal variation,Taxi,Normal,May
2023-05-04,124243,5,3,0,18,1.2457501027488325,False,False,False,0.12037149906835043,Normal variation,Taxi,Normal,May
2023-05-05,119076,5,4,0,18,0.9578216348297596,False,False,False,0.1184812175389785,Normal variation,Taxi,Normal,May
2023-05-06,119086,5,5,1,18,0.958378879784122,False,False,False,0.06369697734085389,Normal variation,Taxi,Normal,May
